Year,Home_Team,HTScore,Away_Team,ATScore,Winner,Winning_score,Loser,Losing_score,Draw
1998,"
Wasps ",21," Harlequins
",22," Harlequins
",22,"
Wasps ",21,0

1998,"
West Hartlepool ",15," Leicester Tigers
",45," Leicester Tigers
",45,"
West Hartlepool ",15,0

1998,"
Leicester Tigers ",36," Bath Rugby
",13,"
Leicester Tigers ",36," Bath Rugby
",13,0

1998,"
Gloucester Rugby ",31," Bedford Blues
",21,"
Gloucester Rugby ",31," Bedford Blues
",21,0

1998,"
Harlequins ",25," Newcastle Falcons
",20,"
Harlequins ",25," Newcastle Falcons
",20,0

1998,"
London Irish ",25," Sale Sharks
",31," Sale Sharks
",31,"
London Irish ",25,0

1998,"
Northampton Saints ",26," Wasps
",21,"
Northampton Saints ",26," Wasps
",21,0

1998,"
Saracens ",33," Richmond
",17,"
Saracens ",33," Richmond
",17,0

1998,"
Sale Sharks ",42," West Hartlepool
",26,"
Sale Sharks ",42," West Hartlepool
",26,0

1998,"
London Scottish ",17," London Irish
",23," London Irish
",23,"
London Scottish ",17,0

1998,"
Bedford Blues ",20," Saracens
",25," Saracens
",25,"
Bedford Blues ",20,0

1998,"
Newcastle Falcons ",45," Northampton Saints
",35,"
Newcastle Falcons ",45," Northampton Saints
",35,0

1998,"
Wasps ",45," Leicester Tigers
",17,"
Wasps ",45," Leicester Tigers
",17,0

1998,"
Northampton Saints ",44," Richmond
",27,"
Northampton Saints ",44," Richmond
",27,0

1998,"
Gloucester Rugby ",28," Saracens
",27,"
Gloucester Rugby ",28," Saracens
",27,0

1998,"
Harlequins ",43," Bath Rugby
",31,"
Harlequins ",43," Bath Rugby
",31,0

1998,"
London Irish ",30," Bedford Blues
",19,"
London Irish ",30," Bedford Blues
",19,0

1998,"
Wasps ",32," Sale Sharks
",19,"
Wasps ",32," Sale Sharks
",19,0

1998,"
West Hartlepool", 7," London Scottish
",37,"
West Hartlepool", 7," London Scottish
",37,0

1998,"
Sale Sharks ",26," Gloucester Rugby
",10,"
Sale Sharks ",26," Gloucester Rugby
",10,0

1998,"
Bath Rugby", 9," Northampton Saints
",15,"
Bath Rugby", 9," Northampton Saints
",15,0

1998,"
Bedford Blues ",10," West Hartlepool
",23," West Hartlepool
",23,"
Bedford Blues ",10,0

1998,"
Leicester Tigers ",31," Newcastle Falcons
",18,"
Leicester Tigers ",31," Newcastle Falcons
",18,0

1998,"
London Scottish", 9," Wasps
",17,"
London Scottish", 9," Wasps
",17,0

1998,"
Saracens ",40," London Irish
",26,"
Saracens ",40," London Irish
",26,0

1998,"
Bath Rugby ",11," Saracens
",19," Saracens
",19,"
Bath Rugby ",11,0

1998,"
Gloucester Rugby ",18," Leicester Tigers
",23," Leicester Tigers
",23,"
Gloucester Rugby ",18,0

1998,"
London Irish ",20," Harlequins
",16,"
London Irish ",20," Harlequins
",16,0

