Year,WP1,HWP,AWP,APPG1,WP2,HWP2,AWP2,APPG2,Score,Winner,WPT,HWPT,AWPT,APPG
1998,54.0,61.538,46.154,27.038,68.0,75.0,61.538,26.32,4,0,-14.0,-13.462,-15.384,0.718
1998,27.0,53.846,0.0,18.885,46.0,46.154,45.455,23.667,-12,1,-19.0,7.692,-45.455,-4.782
1998,54.0,84.615,23.077,27.654,40.0,53.846,25.0,22.84,15,0,14.0,30.769,-1.923,4.814
1998,32.0,50.0,15.385,18.72,65.0,69.231,61.538,29.0,-24,1,-33.0,-19.231,-46.153,-10.28
1998,73.0,92.308,53.846,29.654,27.0,46.154,7.692,20.808,26,0,46.0,46.154,46.154,8.846
1998,46.0,46.154,45.455,23.667,54.0,61.538,46.154,27.038,-12,1,-8.0,-15.384,-0.699,-3.371
1998,68.0,75.0,61.538,26.32,40.0,53.846,25.0,22.84,2,0,28.0,21.154,36.538,3.48
1998,54.0,84.615,23.077,27.654,32.0,50.0,15.385,18.72,16,0,22.0,34.615,7.692,8.934
1998,52.0,66.667,38.462,28.08,40.0,50.0,30.769,21.2,14,0,12.0,16.667,7.693,6.88
1998,60.0,69.231,50.0,29.32,27.0,53.846,0.0,18.885,-17,1,33.0,15.385,50.0,10.435
1998,40.0,50.0,30.769,21.2,62.0,76.923,46.154,26.846,16,0,-22.0,-26.923,-15.385,-5.646
1998,54.0,61.538,46.154,27.038,54.0,84.615,23.077,27.654,2,0,0.0,-23.077,23.077,-0.616
1998,27.0,53.846,0.0,18.885,68.0,75.0,61.538,26.32,-11,1,-41.0,-21.154,-61.538,-7.435
1998,40.0,53.846,25.0,22.84,65.0,69.231,61.538,29.0,-15,1,-25.0,-15.385,-36.538,-6.16
1998,60.0,69.231,50.0,29.32,27.0,46.154,7.692,20.808,31,0,33.0,23.077,42.308,8.512
1998,32.0,50.0,15.385,18.72,52.0,66.667,38.462,28.08,4,0,-20.0,-16.667,-23.077,-9.36
